title,location,employment_type,level,category,salary_min,salary_max,salary_type,description,requirements
IME - Scientist (Mechanical / Material Modeling and Characterization),South,"Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$5,900","to$9,500",Monthly,"Roles & Responsibilities
Material characterization test for electronic packaging materials
0       Use DMA, TMA testers to do materia l test and analysis.
0       Thermal-aging effect on material property analysis through testing.
0       Sample built up and data analysis.
Wire bond pad sh·ength characterization test and modeling for assessment of reliability .
Material modeling for advanced packaging reliability .
Failure analysis for wire bond pull and d ie pull testing.
Thermal, mechanical, and flow modeling to supp01t consortium projects
 ","Requirements
PhD in Mechanical/Material  Engineering
5 years of experience in semiconductor and packaging industry preferred.
Working experience in mechanical modelling, mechanical property test and analysis
Mechanical modeling by using ANSYS or ABAQUS software
Material characterization  test for microelech·onics or assembly/packaging related materials
Failure analysis experience is an advantage
Expertise in CFD and thetmal simulation is an advantage
Strong background and proven track record in carrying out research and development in advanced IC packaging development
Excellent analytical, communication & presentation skills.
  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice.
We regret that only shortlisted candidates will be notified."
"Research Scientist (1-year contract), Fujitsu-SMU Urban Computing & Engineering Corp Lab (UNICEN)",East,Contract,Manager,Education and Training,"$5,000","to$6,500",Monthly,"Roles & Responsibilities
COMPANY DESCRIPTION
Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.

Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.

RESPONSIBILITIES
Work under the supervision of Principal Investigator's research problems, design and implementation of working prototypes and publications. These activities are to be carried out in consultation with UNICEN director
Engage and lead in project discussions and requirement gatherings with industry players
Manage project implenetation and team resources to ensure test-bed solutions are delivered on time and meet requirements","Requirements
PhD in Computer Sicence, Computer Engineering or related disciplines
Research background in data-mining, machine learning and optimization
Experience in designing incentive mechanism and conducting real-world experiments
Programming in C++ Java
Use of optimization tolls such as OPL or Matlab"
"Research Scientist (1-year contract), Fujitsu-SMU Urban Computing & Engineering Corp Lab (UNICEN)",East,Contract,Manager,Education and Training,"$5,000","to$6,500",Monthly,"Roles & Responsibilities
COMPANY DESCRIPTION
Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together – building a strong collegiality and morale within the university.

Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities – all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence.

RESPONSIBILITIES
Work under the supervision of Principal Investigator's research problems, design and implementation of working prototypes and publications. These activities are to be carried out in consultation with UNICEN director
Engage and lead in project discussions and requirement gatherings with industry players
Manage project implenetation and team resources to ensure test-bed solutions are delivered on time and meet requirements","Requirements
PhD in Computer Sicence, Computer Engineering or related disciplines
Research background in data-mining, machine learning and optimization
Experience in designing incentive mechanism and conducting real-world experiments
Programming in C++ Java
Use of optimization tolls such as OPL or Matlab"
Data Scientist,Islandwide,Full Time,Middle Management,Information Technology,"$8,000","to$16,000",Monthly,"Roles & Responsibilities
Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models.
What’s more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.
We are actively looking for talented and motivated individuals to join our Supply Chain Data Analytics and Automation team. If you are curious by nature and inspired by how data is changing the world, then we are interested in talking with you.
You should excel and thrive in a fast paced, collaborative and iterative environment. You’re driven to show the world the power of data and applied analytics and loves learning, data, scale and agility as well as excel in making complex concepts simple and easy to understand by those around you.
Roles and responsibilities
Provide data science services and work with stakeholders to assess demands and suggest data science methods that provide practical, value-added answers for the company.
Comfortable with or are highly motivated to learn and apply database tools and statistical predictive models by analyzing large datasets with a variety of tools (R, Python, SQL, Microstrategy, Microsoft PowerBI and Tableau)
Develop and deliver data science solutions to further advance Dell’s competitiveness in the areas of global supply chain and operations
Passionate about asking and answering questions in large datasets and have a strong desire to create strategies and solutions that challenge and expand the thinking of everyone around you. 
Deep dive into data to find answers to yet unknown questions and have a natural desire to go beneath the surface of a problem.
Ask relevant questions and possess the skills to build algorithms necessary to find meaningful answers.
Possess ability to think strategically about how to use data to drive competitive advantages.
Creatively visualize and effectively communicate data findings and insights in a variety of formats.
The position offers
Opportunity to drive cutting-edge strategies and digital solutions for one of the industry’s most respected supply chain
Access and interaction with executive leadership team at a Fortune 50 company
Opportunity to work with a highly motivated team that invests in your development
A commitment to diversity and inclusion
Competitive compensation including bonus plans and a great benefit package
Exciting internal career opportunities to different roles","Requirements
Role requirements
MS or higher in Engineering, Statistics, Computer Science, or Data Sciences (or equivalent experience)
Advanced knowledge of statistics utilizing statistical programming languages (R, Python, etc.)
BI, Data Mining, Machine Learning experience
Experienced in data management and building packages
Experience with measuring and maintaining data quality
Proficient in SQL
Prefer to have advanced knowledge of Microsoft BI Stack or Pivotal Stack"
Data Scientist,Central,"Permanent, Full Time",Professional,Information Technology,"$9,000","to$11,000",Monthly,"Roles & Responsibilities
Get to know our Team:
Grab’s lending business (GFSA – Grab Financial Services Asia) is a recent addition to Grab’s array of product and service offerings focused on extension of Micro credit to drivers, agents and merchants in Grab’s ecosystem. GFSA team is a combination of strong talent pool in its Regional Hub (Singapore) and deep local market operators across its focus markets. We are incredibly excited about the opportunity ahead of us. We are looking to put together the best possible combination of business build drive, industry expertise and local market depth as part of our team. GFSA team is responsible for end to end conceptualisation, design, development, execution and ongoing management of all lending activities in its focus markets and segments.","Requirements
The Role:
Develop a deep behavioural understanding and intuition of our drivers, agents and merchants to build predictive models for credit risk, customer management, collections, purchase propensity, fraud, identity and many other business needs within Grab Financial.
Manage and own the entire end-to-end lifecycle of building and validating predictive models along with their deployment and maintenance.
Interface with business, risk & operation teams to formulate solutions & product changes informed by your findings and business inputs/reality.
Work independently or in a team to solve complex problem statements.
Individual contributor role with 2-8 years of experience. Candidates will be aligned appropriately within the organization depending on experience and depth of knowledge.
The day-to-day activities: Build predictive models using a mix of machine learning and traditional analytics methods.
Validate models on new datasets, based on in-market performance.
Engineer predictive features from internal data assets to build refined customer profiles. Identify external data assets to bring into the model mix.
Solve previously unsolved analytics problems using best in class data analytics and machine learning methodologies.
Work backwards to conceptualise and design analytic model frameworks to solve business problems.
Build and maintain dashboards for model performance KPIs.

The Must Haves:
Expert in building machine learning and predictive models in Python and Spark.
Coding and modelling skills in Spark, Python, Java. Others like SAS, R good to have.
SQL, Presto, Hive proficiency.
Sound knowledge of machine learning concepts. Illustrative machine learning concepts/methods are: Bagging, Boosting, Regularisation, Online Learning, Recommendation Engines etc.
Sound knowledge of statistical modelling methods. For e.g. CHAID CART, Regressions, SVD, PCA etc.
Experience on text analytics stack is a plus: NLP, parts of speech tagging, word2vec etc.
Expert in feature creation on a variety of data types.
Professional experience in building machine learning analytics model development
Understanding of trade-offs between model performance and business needs.
Strong problem-solving mindset is critical for success in this role.
Self-motivated, independent learner, and enjoy sharing knowledge with team members
Work experience and knowledge of more than one domain is a plus - Risk Analytics, Marketing Analytics, Telecom analytics, Retail analytics, Fraud analytics etc."
Data Scientist,Central,"Permanent, Full Time",Professional,Information Technology,"$13,000","to$15,000",Monthly,"Roles & Responsibilities
Get to know our Team:
Grab’s lending business (GFSA – Grab Financial Services Asia) is a recent addition to Grab’s array of product and service offerings focused on extension of Micro credit to drivers, agents and merchants in Grab’s ecosystem. GFSA team is a combination of strong talent pool in its Regional Hub (Singapore) and deep local market operators across its focus markets. We are incredibly excited about the opportunity ahead of us. We are looking to put together the best possible combination of business build drive, industry expertise and local market depth as part of our team. GFSA team is responsible for end to end conceptualisation, design, development, execution and ongoing management of all lending activities in its focus markets and segments.","Requirements
The Role:
Develop a deep behavioural understanding and intuition of our drivers, agents and merchants to build predictive models for credit risk, customer management, collections, purchase propensity, fraud, identity and many other business needs within Grab Financial.
Manage and own the entire end-to-end lifecycle of building and validating predictive models along with their deployment and maintenance.
Interface with business, risk & operation teams to formulate solutions & product changes informed by your findings and business inputs/reality.
Work independently or in a team to solve complex problem statements.
Individual contributor role with 2-8 years of experience. Candidates will be aligned appropriately within the organization depending on experience and depth of knowledge.
The day-to-day activities: Build predictive models using a mix of machine learning and traditional analytics methods.
Validate models on new datasets, based on in-market performance.
Engineer predictive features from internal data assets to build refined customer profiles. Identify external data assets to bring into the model mix.
Solve previously unsolved analytics problems using best in class data analytics and machine learning methodologies.
Work backwards to conceptualise and design analytic model frameworks to solve business problems.
Build and maintain dashboards for model performance KPIs.

The Must Haves:
Expert in building machine learning and predictive models in Python and Spark.
Coding and modelling skills in Spark, Python, Java. Others like SAS, R good to have.
SQL, Presto, Hive proficiency.
Sound knowledge of machine learning concepts. Illustrative machine learning concepts/methods are: Bagging, Boosting, Regularisation, Online Learning, Recommendation Engines etc.
Sound knowledge of statistical modelling methods. For e.g. CHAID CART, Regressions, SVD, PCA etc.
Experience on text analytics stack is a plus: NLP, parts of speech tagging, word2vec etc.
Expert in feature creation on a variety of data types.
Professional experience in building machine learning analytics model development
Understanding of trade-offs between model performance and business needs.
Strong problem-solving mindset is critical for success in this role.
Self-motivated, independent learner, and enjoy sharing knowledge with team members
Work experience and knowledge of more than one domain is a plus - Risk Analytics, Marketing Analytics, Telecom analytics, Retail analytics, Fraud analytics etc."
Textile Scientist,West,Full Time,Senior Executive,Sciences / Laboratory / R&D,,,,"Roles & Responsibilities
Lead projects related to knitted and non-woven fabrics in the textile Centre
Work closely with other researchers and R&D Director to identify new technology possibilities for apparel/ textile innovations driven by end-user needs
Utilize knowledge of textile products, materials, product equipment capabilities, assembly methods to drive changes
Prepare and characterize textile samples using different machines (circular knitter, carder etc) at laboratory scale
Investigate, recommend and justify new technologies, manufacturing methods and equipment to meet business and marketing requests and improve efficiency of technological processes
Provide support in the lab setup, research work activities and equipment training for end-users
Reports writing and making presentation during meetings with industrial partners.","Requirements
PhD in Textile Processing/ Polymer Processing or Material Science applied to textile from a recognized university
1 - 2 years of postdoc experience in knitted fabric and non-woven fabric. Experience of work in textile R&D centers is an advantage
Knowledge and ability to work with textile machines
Knowledge and practical experience in testing and characterization of textile samples
Knowledge of common industrial technologies in textile coating, lamination and membranes
Excellent communication skill in English
Willing to work in applied science under R&D projects related to textile industry"
Data Scientist,Central,"Permanent, Full Time",Professional,Information Technology,"$11,000","to$13,000",Monthly,"Roles & Responsibilities
Get to know our Team:
Grab’s lending business (GFSA – Grab Financial Services Asia) is a recent addition to Grab’s array of product and service offerings focused on extension of Micro credit to drivers, agents and merchants in Grab’s ecosystem. GFSA team is a combination of strong talent pool in its Regional Hub (Singapore) and deep local market operators across its focus markets. We are incredibly excited about the opportunity ahead of us. We are looking to put together the best possible combination of business build drive, industry expertise and local market depth as part of our team. GFSA team is responsible for end to end conceptualisation, design, development, execution and ongoing management of all lending activities in its focus markets and segments.","Requirements
The Role:
Develop a deep behavioural understanding and intuition of our drivers, agents and merchants to build predictive models for credit risk, customer management, collections, purchase propensity, fraud, identity and many other business needs within Grab Financial.
Manage and own the entire end-to-end lifecycle of building and validating predictive models along with their deployment and maintenance.
Interface with business, risk & operation teams to formulate solutions & product changes informed by your findings and business inputs/reality.
Work independently or in a team to solve complex problem statements.
Individual contributor role with 2-8 years of experience. Candidates will be aligned appropriately within the organization depending on experience and depth of knowledge.
The day-to-day activities: Build predictive models using a mix of machine learning and traditional analytics methods.
Validate models on new datasets, based on in-market performance.
Engineer predictive features from internal data assets to build refined customer profiles. Identify external data assets to bring into the model mix.
Solve previously unsolved analytics problems using best in class data analytics and machine learning methodologies.
Work backwards to conceptualise and design analytic model frameworks to solve business problems.
Build and maintain dashboards for model performance KPIs.

The Must Haves:
Expert in building machine learning and predictive models in Python and Spark.
Coding and modelling skills in Spark, Python, Java. Others like SAS, R good to have.
SQL, Presto, Hive proficiency.
Sound knowledge of machine learning concepts. Illustrative machine learning concepts/methods are: Bagging, Boosting, Regularisation, Online Learning, Recommendation Engines etc.
Sound knowledge of statistical modelling methods. For e.g. CHAID CART, Regressions, SVD, PCA etc.
Experience on text analytics stack is a plus: NLP, parts of speech tagging, word2vec etc.
Expert in feature creation on a variety of data types.
Professional experience in building machine learning analytics model development
Understanding of trade-offs between model performance and business needs.
Strong problem-solving mindset is critical for success in this role.
Self-motivated, independent learner, and enjoy sharing knowledge with team members
Work experience and knowledge of more than one domain is a plus - Risk Analytics, Marketing Analytics, Telecom analytics, Retail analytics, Fraud analytics etc."
Lead Data Scientist,East,"Permanent, Full Time",Professional,Information Technology,"$8,000","to$12,000",Monthly,"Roles & Responsibilities
As a Lead Data Scientist, you’ll drive the Data Science Team and work closely with senior management. Our ideal candidate is results-focused, innovative and has a solid quantitative background and a good business understanding.
Responsibilities
Jewel Paymentech is looking for a highly-motivated person to lead the Data Science Team and support us in developing cutting edge fraud and risk management solutions.
Lead a multi-disciplined team that will take full ownership of turning discoveries and ideas into functional models. You’ll use the model’s output to create and improve products for our customers, preferably in short development cycles
Guide and mentor others in the Data Science Team on the methodologies best suited to solve real-world issues
Build, test and deploy machine learning models to combat fraud and other payment risk issues
Lead Research & Development efforts on how to improve and take Data Science at Jewel to the next level","Requirements
 Requirements
Seven or more years of relevant work experience (including at least one year of exposure to payments, banking or FinTech)
BSc, Masters, PhD, or equivalent experience in a quantitative field (Computer Science, Mathematics, Engineering, Artificial Intelligence, etc.)
Excellent English communication skills; the ability to convey your message to team members and other stakeholders
Proficient in Python and Scikit-Learn/Pandas
Proficiency in using Amazon Web Services
Proficiency in using any graph databases: Neo4J, OrientDB, AllegroGraph, JanusDB, etc.Proficiency in Spark ML/MLLib
Additional advantage with proficiency in Natural Language Processing
Additional advantage with proficiency in using Keras, TensorFlow, Caffe, Torch/PyTorch, Theano, mxnet or any other Deep Learning framework
Prior experience with some of the following models: Logistic Regression, Support Vector Machines, (Deep) Neural Networks, Hidden Markov Models, Conditional Random Fields, Game Theory, Mechanism Design and/or Latent Dirichlet Allocation (LDA)"
BTI - Project Scientist / Research Scientist (Metabolomics),South,"Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$4,500","to$9,000",Monthly,"Roles & Responsibilities
The Metabolomics group at BTI develops and utilizes liquid-chromatography-mass spectrometry (LC-MS) -based techniques for the comprehensive profiling of metabolites present in biological systems. You will be expected to work closely with collaborators and team members to manage and drive projects which address key scientific questions in the bioprocessing and biologics drug development. You will also lead by example in developing sample preparation and LC-MS protocols for the analysis of polar and lipid metabolites found in different biological matrices, as well as interrogate LC-MS data with multivariate statistics to identify metabolites of interest. You are expected to communicate your findings to the scientific community through peer-reviewed journals and conferences, as well as to industrial collaborators.","Requirements
A PhD degree in Sciences (Chemistry, Biological Sciences) or Biochemical / Chemical Engineering.
Prior practical experience with cell culture, liquid chromatography, mass spectrometry and multivariate statistics.
Proven ability to manage projects and accomplish research objectives in a timely manner.
Proven ability to communicate research findings through publications in peer-reviewed journals.
Prior experience in securing grants and/or involvement in joint research collaborations with external parties will be advantageous.
  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice.
We regret that only shortlisted candidates will be notified."
Data Scientist,Central,Full Time,Professional,Information Technology,"$5,000","to$8,000",Monthly,"Roles & Responsibilities
Description of Role
As a Data Scientist at Ampotech you will work with power consumption data generated from multiple buildings across several countries and develop equipment state and anomaly detection algorithms. In this role, you will work with the CTO and supporting staff such as software developers and data engineers to bring these algorithms into the production environment.","Requirements
Desired Qualifications
Master’s or PhD in Computer Science, Applied Math, or a similar field
Experience working with time-series data
Experience with Python
At least 2 years of experience in industry or an applied research environment"
"Project Scientist (Stem Cell), BTI",South,"Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$4,500","to$9,000",Monthly,"Roles & Responsibilities
Research Scientists in the Stem Cells Group are responsible for innovating stem cell-related technologies that are aimed at boosting the R&D economy in Singapore. The position currently available will focus on stem cell research associated with the muscle lineage, with emphasis on cell line and media development.
Responsibilities:
Plan and execute experiments: collect, analyse and report data
Communicate scientific results to a variety of audience in written and oral formats
Uphold highest quality and integrity of scientific work
Meet project milestones effectively and efficiently
Collaborate with multiple teams while responsibly completing tasks in hand
Contribute constructive ideas and feedback in project discussions and administrative meetings
Execute necessary duties for laboratory maintenance","Requirements
PhD in (stem) cell biology or developmental biology, with specialisation in muscle
Biology
No experience required
Experience with flow cytometry and RT-PCR
Familiarity with biochemistry and molecular biology
A track record for delivering quality work within timelines
Good communicative and writing skills
Ability to work effectively as an individual and as a team player
Keen willingness and humility to teach and learn from fellow teammates
Strong organizational skills with attention to detail are critical
Ability to write research grants or engage industry partners for collaboration
Consistent drive to self-motivate
Strict adherence to policy and research ethics
  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
"Research Scientist (Stem Cell), BTI",South,"Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$4,500","to$9,000",Monthly,"Roles & Responsibilities
Research Scientists in the Stem Cells Group are responsible for innovating stem cell-related technologies that are aimed at boosting the R&D economy in Singapore. The position currently available will focus on stem cell research associated with the muscle lineage, with emphasis on cell line and media development.
Responsibilities:
Plan and execute experiments: collect, analyse and report data
Communicate scientific results to a variety of audience in written and oral formats
Uphold highest quality and integrity of scientific work
Meet project milestones effectively and efficiently
Collaborate with multiple teams while responsibly completing tasks in hand
Contribute constructive ideas and feedback in project discussions and administrative meetings
Execute necessary duties for laboratory maintenance","Requirements
PhD in (stem) cell biology or developmental biology, with specialisation in muscle
Biology
No experience required
Experience with flow cytometry and RT-PCR
Familiarity with biochemistry and molecular biology
A track record for delivering quality work within timelines
Good communicative and writing skills
Ability to work effectively as an individual and as a team player
Keen willingness and humility to teach and learn from fellow teammates
Strong organizational skills with attention to detail are critical
Ability to write research grants or engage industry partners for collaboration
Consistent drive to self-motivate
Strict adherence to policy and research ethics
  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
Scientist (Data Analytics) / I2R (A*STAR),South,"Contract, Full Time",Professional,Sciences / Laboratory / R&D,"$4,500","to$9,000",Monthly,"Roles & Responsibilities
About the Institute for Infocomm Research (I²R)
The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg
We are looking for data scientists who can contribute on data analytics R&D projects. Researchers with expertise in the areas of natural language processing, text mining and analytics, deep learning, machine learning, and/or knowledge and semantics-based data analytics are welcome. The successful candidates have opportunities to work with experienced data scientists to work on interesting yet challenging real-world problems in applying deep learning for natural language processing and text mining, as well as in synergistically integrating text analytics with other types of data (e.g. vision, audio, financial data, user profiles, geo-temporal data, knowledge base) for heterogeneous data analytics.
Job Responsibilities:
Design and develop new analytics technologies
Work with experienced data scientists to address real-world problems from well-known industry collaborators
Demonstrate long-term vision, while effectively supporting short-term goals","Requirements
PhD in computer science or other related fields
Familiar with analytics tools Python/R
Being an excellent team player
Good interpersonal and communication skills
The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
"Post Doctoral Fellow (Assay Scientist, Synthetic Biology), GIS",South,"Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$4,500","to$9,000",Monthly,"Roles & Responsibilities
Our group is working on an exciting biotechnology development project involving imaging of biological samples with industry partners in Singapore. We are looking for a motivated individual with experience in mouse handling and tissue histology. 

In this challenging but rewarding career opportunity, you will develop biological activity assays and establish organizational handling and preparation procedures for tissues and cells to be analysed in a sophisticated bio-imaging system. 

You will be required to develop tissue preparation protocols for high resolution imaging and establish organisational handling and preparation procedures for tissues and cells. In additional, you will conduct mouse surgery for isolation of internal organs for histology work which will include preparation of tissue samples for histological study (sectioning of tissue samples). You are also tasked to train assay technicians to perform the bioassays and sample handling and preparation","Requirements
PhD degree in Biology, Chemistry, Life Sciences or related fields
At least 3 years of working experience in histology work and/or developing biological procedures for specimen handling and processing, testing analyses, implementing new methods, reporting and maintaining records of test results
Ability to work in a team, manage multiple projects, and track timelines
Process excellent communication and laboratory recording skills
Candidates with experience with light microscopy will be a plus
  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
[IME] Scientist / Senior Research Engineer (Neurodevice Phase II),South,Contract,Professional,Engineering,,,,"Roles & Responsibilities
Design state-of-art biosignal recording systems, which includes multichannel wide dynamic range analog front-end, digital feedback control loop and high resolution energy efficiency analog-to-digital converter.
Design state-of-art high precision low noise, low offset analog amplifiers.
System-level circuit testing and debug in lab environment.
Work with the cross-disciplinary team on the devise validation on animal model.
 ","Requirements
PhD or Master degree in Electrical Engineering
Demonstrated expertise in 2 or more years of experience in analog/mixed signal IC design
Excellent knowledge and successful tapeout experience in CMOS analog/mixed signal ASIC design
Good knowledge in ASIC design flow and successful tapeout experience.
Industry experience and multi-disciplinary R&D experience would be a plus.
Experience with lab measurement equipment.
Excellent communication skills in English (written and spoken)
Team player, quick learner and self-driven.
Independently working ability with minimum supervision.
  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
Data Scientist,South,Full Time,Senior Executive,"Engineering, Information Technology","$6,000","to$8,000",Monthly,"Roles & Responsibilities
The Innovation and Transformation Office (ITO) of Global Safety Division (GSD) leads disruptive idea generation, research, testing and prototyping with the goal of launching breakthrough products and services inspired by global trends and emerging technologies, contributing to a Safer City. We aim to take our deep technical and product expertise and develop innovative solutions that helps to transform businesses.
This position is a good match for a passionate and technical leader who enjoys technical challenges and possess excellent communication skills. The successful candidate should preferably have a strong start-up mentality and experience, as well as proven track record within a cross-cultural multi-national corporation, delivering large mission critical solutions in the area of data science and machine learning.
As a Data Scientist, you'll work closely with our customers to produce innovative and actionable quantitative models and analysis to address the challenges in the areas of Public Safety. The Innovation and Transformation Office (ITO) team is a catalysing force that crystalizes visionary concepts into proof-of-concepts (POCs) and prototypes that will bring real value to organizations. These solutions need to be scalable to support millions of customers worldwide.
  Provide leadership in the areas of data analytics and modelling with a strong focus on Public Safety. Develop and deploy AI technologies for public safety.
Manage machine learning projects, including writing functional and program specifications and documentation, data (structured and unstructured) acquisition from external and internal sources, data preparation (data cleaning, data mapping, data quantity and quality validation), identifying suitable machine learning algorithms to apply on the data sets, building machine learning model from the data, and tuning model parameters for enhanced performance.
Develop processes and tools for evaluating the performance of machine learning algorithms and robustness of the models. Establish specific success criteria for selecting the best machine learning model to address a real-world problem. Perform system testing and user acceptance testing to validate the robustness and performance of the machine learning models.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Design, build, test, validate, and deploy statistical and machine learning models to answer business needs and increase operational efficiency.
Develop custom data models and algorithms to apply to data sets.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Actively engage in the creation of new disruptive and transformational products and services through an understanding of the end user’s requirements and operating environment.
Participate in the building and enhancement of a robust pipeline to support the automation of various development associated tasks to achieve continuous integration and delivery.
Create Intellectual Property (IP) in the form of patents, publication of papers in the relevant areas that is tightly aligned to the strategic direction of the GSD.","Requirements
Education & Experience
Bachelor’s degree in Computer Science or Data Science (preferred). Or,
Bachelor’s degree in any of Statistics/Mathematics/Technology plus a certification or rich experience in Machine Learning/Deep Learning/ETL.
Minimum of 5 years of quantitative analytics experience with a focus on statistical modeling, Machine Learning, forecasting, optimization and/or predictive analytics.
Experience in biometrics and facial recognition technologies is a plus.
  Skill Requirements
At least 2 years’ relevant experience.
Must have strong programming experience with Python and R.
Experience in machine learning, deep learning, data visualization, statistical, text analytics libraries, jupyter notebook and/or frameworks in Python or R.
Experience with data processing and data analytics."
Data Scientist / Engineer,South,Full Time,Executive,"Engineering, Information Technology","$4,500","to$6,000",Monthly,"Roles & Responsibilities
The Innovation and Transformation Office (ITO) of Global Safety Division (GSD) leads disruptive idea generation, research, testing and prototyping with the goal of launching breakthrough products and services inspired by global trends and emerging technologies, contributing to a Safer City. We aim to take our deep technical and product expertise and develop innovative solutions that helps to transform businesses.
This position is a good match for a passionate and technical leader who enjoys technical challenges and possess excellent communication skills. The successful candidate should preferably have a strong start-up mentality and experience, as well as proven track record within a cross-cultural multi-national corporation, delivering large mission critical solutions in the area of data science and machine learning.
As a Data Scientist/Engineer, you'll work closely with our customers to produce innovative and actionable quantitative models and analysis to address the challenges in the areas of Public Safety. The Innovation and Transformation Office (ITO) team is a catalysing force that crystalizes visionary concepts into proof-of-concepts (POCs) and prototypes that will bring real value to organizations. These solutions need to be scalable to support millions of customers worldwide.
  Provide leadership in the areas of data analytics and modelling with a strong focus on Public Safety. Develop and deploy AI technologies for public safety.
Manage machine learning projects, including writing functional and program specifications and documentation, data (structured and unstructured) acquisition from external and internal sources, data preparation (data cleaning, data mapping, data quantity and quality validation), identifying suitable machine learning algorithms to apply on the data sets, building machine learning model from the data, and tuning model parameters for enhanced performance.
Develop processes and tools for evaluating the performance of machine learning algorithms and robustness of the models. Establish specific success criteria for selecting the best machine learning model to address a real-world problem. Perform system testing and user acceptance testing to validate the robustness and performance of the machine learning models.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Design, build, test, validate, and deploy statistical and machine learning models to answer business needs and increase operational efficiency.
Develop custom data models and algorithms to apply to data sets.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Actively engage in the creation of new disruptive and transformational products and services through an understanding of the end user’s requirements and operating environment.
Participate in the building and enhancement of a robust pipeline to support the automation of various development associated tasks to achieve continuous integration and delivery.
Create Intellectual Property (IP) in the form of patents, publication of papers in the relevant areas that is tightly aligned to the strategic direction of the GSD.","Requirements
Education & Experience
Bachelor’s degree in Computer Science or Data Science (preferred). Or,
Bachelor’s degree in any of Statistics/Mathematics/Technology plus a certification or rich experience in Machine Learning/Deep Learning/ETL.
Minimum of 5 years of quantitative analytics experience with a focus on statistical modeling, Machine Learning, forecasting, optimization and/or predictive analytics.
Experience in biometrics and facial recognition technologies is a plus.
  Skill Requirements
At least 2 years’ relevant experience.
Must have strong programming experience with Python and R.
Experience in machine learning, deep learning, data visualization, statistical, text analytics libraries, jupyter notebook and/or frameworks in Python or R.
Experience with data processing and data analytics."
Data Scientist,Islandwide,"Permanent, Contract, Full Time","Professional, Executive, Junior Executive, Senior Executive",Information Technology,"$6,000","to$7,500",Monthly,"Roles & Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Propose solutions and strategies to business challenges
Present information using data visualization techniques
Collaborate with engineering and product development teams","Requirements
Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Experience using business intelligence tools and data frameworks
Analytical mind with strong business acumen and problem-solving skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred"
