title,location,employment_type,level,category,salary_min,salary_max,salary_type,description,requirements
Supply Chain Analyst (Manufacturing / Semiconductor),East,Full Time,Junior Executive,Logistics / Supply Chain,"$3,800","to$5,000",Monthly,"Roles & Responsibilities
about the company

Our client is leading globally in the semiconductor and manufacturing industry. They create, implement and provide innovative electronics, embedded processors and analog products. As they are rapidly expanding, they are looking to hire a Supply Chain Analyst (Manufacturing/Semiconductor) to join their dynamic team.
about the job

As a Supply Chain Analyst (Manufacturing/Semiconductor, your key tasks involve:
Managing end to end supply chain activities involving logistics, inventory management, material handling, import-export licensing, shipment of products and third party logistics liaising
Be responsible for  data analysis reports for production planning and volume studies and be involved in processing improvement efforts
Support customer enquiries and ensure all business and service requirements are met
Implement strategies at site, region and corporate level
Participate and support in corporate projects and international travel opportunities","Requirements
skills & experience required
To be successful in this position, you must have the ability to demonstrate or possess:
Degree/Masters  in Logistic & Supply Chain / Industrial Engineering
Minimum 2 years of relevant experience in operations, logistics and data analytical processes in manufacturing/semiconductor industry
Excellent analytical and project management skills
Knowledge in Databases, Spotfire or other internal analysis software will be a plus
Willing to work in the East
how to apply
To apply online, please click on the ‘apply’ function below. Alternatively, please contact eileen at eileen.goh(@)randstad.com.sg
Please indicate your availability, expected salary, and reason for leaving your current job in your CV.
EA: 94C3609 / R1880230"
Bilingual Mandarin Medical Writer / Analyst,Central,"Permanent, Full Time",Professional,Others,"$4,000","to$5,000",Monthly,"Roles & Responsibilities
About the Role
The Mandarin speaking Medical Writer/Analyst will be based in our Singapore office, and will work closely with our Asia-Pacific Head and the Asia-Pacific team, as well as collaborating with experts in our UK team.
We are looking for those with experience in scientific research and for enthusiastic recent graduates in the sciences, who possess exceptional English and Mandarin language skills, and have keen interest in pioneering further expansion of the company into China. This is therefore a particularly exciting opportunity for an individual who is keen to help shape the future of Costello Medical.
Medical Writers and Analysts work on projects involving the detailed analysis of data from clinical trials and the assimilation and creative presentation of this analysis in different formats including posters, slide sets, value dossiers, reports and peer-reviewed publications. These deliverables are used directly by our clients in communication with external stakeholders instrumental to the successful uptake of novel therapies. The work is structured on a project-by-project basis and you will usually be working on several projects in different disease areas at any one time.
You will work in project teams alongside experienced colleagues, who provide one-to-one training in the technical aspects of the role, including project management and effective client communication. Delivering project work requires close collaboration with clients, and following a successful induction period you will increasingly participate in teleconferences and face-to-face meetings with external stakeholders.
Please see below to learn about the difference between Medical Writers and Analysts; please note that you will be asked to specify which role you are applying for in your application form.  
Medical Writer
Medical Writers work on a variety of projects across different specialties with a direct focus on written communication. In particular, Medical Writers focus on the development of publications in both English and Mandarin (abstracts, posters, oral presentations and manuscripts) targeted at scientific journals and conferences. These projects require the ability to work closely with clients and prominent doctors to deliver high quality writing which is scientifically rigorous and in line with the strategic positioning of the pharmaceutical or medical devices product. The role also requires constant dedication to customer service and developing strong relationships with the clients, academics, and healthcare professionals in China and globally.
Outside of publications, Medical Writers also work on other projects, including developing slide sets for educational events or advisory boards as well as developing reports and other written materials.
Analyst
Analysts work across a variety of projects and specialise in document types and formats such as educational materials, slide sets, value dossiers, reimbursement submissions and literature review reports. In a typical week, you could be working on a slide set summarising the epidemiology of type 2 diabetes in Mandarin, supporting a client at an onsite educational event in China and working alongside our Health Economists to adapt a cost-effectiveness model for a client in the Asia-Pacific region.
What We Offer
We offer a competitive starting salary depending on your experience. Additional benefits include discretionary cash bonuses and corporate medical and travel insurance. We are committed to the development of all employees and provide excellent internal training opportunities, and full funding, study leave and travel expenses to complete the University of York’s prestigious postgraduate programme in Health Economics for Healthcare Professionals, the London School of Hygiene and Tropical Medicine postgraduate programmes in Clinical Trials and Public Health and other external courses. Medical Writers are also encouraged to undertake and submit their own research to the International Society of Pharmacoeconomics and Outcomes Research (ISPOR), International Society for Medical Publications Professionals (ISMPP) and may receive full funding and time away from the office to attend the ISPOR and ISMPP congresses and short courses.
How to Apply
To apply to this position, please visit http://www.costellomedical.com/careers/how-to-apply/ to submit your CV along with a covering letter explaining why you think you would be suited to the role and your reasons for wishing to join the Singapore office of Costello Medical. You should also indicate where you originally saw the position advertised. Your CV should clearly state your undergraduate degree class, grade of pass in any subsequent degree(s), and grade of pass in any Mandarin language examinations you have undertaken, along with your nationality and details about your eligibility to work in Singapore. We are able to support employment pass applications for successful candidates.
You are advised to submit your application early, as the role will be filled as soon as a suitable candidate has been found.
For further information please visit our website or email your questions to recruitment@costellomedical.com.","Requirements
What Background Should You Have?
A degree level or higher qualification in a scientific discipline (minimum 2.1). We welcome applications from candidates with a diverse range of specialisms, including but not limited to; biology, chemistry, pharmacy and medicine
Exceptional written and spoken fluency in Mandarin (equivalent to native Mandarin language skills)
Excellent written and spoken fluency in English
An ability to communicate scientific materials clearly in both written and oral form
Excellent understanding of and ability to apply scientific concepts
Close attention to detail
Aptitude for and experience of scientific writing which could include dissertations, research summaries, lab reports, poster or oral presentations, peer-reviewed scientific publications, book chapters, grant applications, regulatory documents, and articles for websites or student magazines
Competency in Microsoft Word, Excel and PowerPoint
Organisational skills and the ability to work across multiple projects at the same time
Previous experience in this sector, including in the Chinese healthcare system, is highly desirable. You should have a genuine interest in healthcare and an eagerness to learn about new areas of clinical science
How to Apply
To apply to this position, please visit http://www.costellomedical.com/careers/how-to-apply/ to submit your CV along with a covering letter explaining why you think you would be suited to the role and your reasons for wishing to join the Singapore office of Costello Medical as a bilingual Japanese Medical Writer.  We regret that  only applications that meet this requirement will be considered."
Market Analyst (Data),"North, Central",Full Time,Executive,Others,"$3,000","to$6,000",Monthly,"Roles & Responsibilities
Get to Know Our Team:
The team dubbed the “cool kids” is unconventional, exciting, and mysterious. We embrace teamwork, diversity, creativity, humor, and diligence.
  Get to Know the Role:
The team takes on some of the most challenging and fascinating market research in the fields of transport, food delivery, payments, and platform services. We apply both traditional and offbeat techniques to form key analytical perspectives of the ever-changing market. We promote a culture where we enjoy raising the bar constantly for ourselves and others, and that strongly supports the freedom to explore and innovate.
  The day-to-day activities:
Use quantitative tools to provide uncover strategic and operational insights on various business verticals, regional markets, competitors, and any aspect of the external environment to help shape key stakeholders' perspectives.
Explore, analyze and aggregate data sets to provide actionable information. Create intuitive visualizations to convey broader these results to key stakeholders. Gather, analyze and disseminate insights.
Explore and create new data sources from time to time to further the team’s information-gathering capabilities.
Market Analyst (Data) is not characterized by the following:
Specializing in ETL, pipelining and other data infrastructure tasks. Though it is common to build and maintain some pipelines, we have a dedicated Data Engineering team for this.
Building, training and deploying machine learning models to production in support of our App. Most production models related to our App are managed by our Engineering and Data Science teams.
Taking an academic approach to Grab’s data. That is handled by our core Data Science team.
Responding to ad-hoc data requests from business teams. Most of the operational dashboards are maintained by our Data Analytics team.","Requirements
The Must-haves:
A Bachelor's degree in any field.
Strong foundation in data query/wrangling using SQL, python/R/Scala and data visualisation using tools like Tableau.
An attitude of self-motivation, effective time management, and the ability to operate in a dynamic and fast-paced working environment.
Experience in business, strategy and/or tech consulting would be an advantage."
Business Analyst (Risk),Central,Full Time,Middle Management,"Banking and Finance, Information Technology","$5,000","to$6,000",Monthly,"Roles & Responsibilities
Job Summary: 
An exiting career opportunity as Business Analyst to join the Risk Infrastructure team within Banking industry.","Requirements
Mandatory Skill-set
Bachelor Degree in Computer Science, Information Systems or Finance;
Has at least 3 years of Business Analysis experience in the Financial Services industry;
Be involved in projects to drive and/or improve data governance capability;
Prior experience with SQL, MSAccess, DBMS;
Independent and strong team player with good inter-personal skills;
Excellent verbal and written communication skills.
  Desired Skill-set
Knowledge on credit products and risk profiles;
Knowledge on data governance process.
Responsibilities
Setup of new data governance process and forums;
Design / setup processes related to Risk Management Group critical data elements;
Execute and managed data governance processes and forums;
Able to follow-up and tracking of issues and gaps to closure;
Support both BAU and project work surrounding data governance;
Work with respective risk areas champions to define and improve Risk Management Group data governance capability;
Participate in activities or projects that will drive and improve data governance capability;
Setting up of new data governance processes / forums.
Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only shortlisted candidates will be notified. 
EA License: 07C5639
 "
"Business Analyst, Murex Specialist, Global Treasury (B)",Central,Contract,Executive,Banking and Finance,,,,"Roles & Responsibilities
Acting as a Business Coordinator and Cross-Functional Business Stream Lead on the implementation of trading system and business process solutions for our Treasury centres, your key responsibilities will encompass:
  Responsibilities :
• Develop the business case for proposed system, module or product implementation and oversee its review and approval by senior management until the official project kick-off.
• Analyze business requirements and requests and drive the delivery of the Requirements Specifications while ensuring that the business workflow processes (existing or target) are considered end-to-end.
• As a business stream lead, coordinate the cross-functional team members and activities for one or several business work streams while ensuring all business requirements are addressed within functional specifications and report the progress to the Project Manager accordingly.
• Ensure and accountable for user acceptance tests as per requirement deliverables including UAT test and conversion plans, test scripts.
• Provide analysis and issue resolution to all cross-functional teams throughout the solution development and implementation lifecycle.
• Responsible for process and system change management within the Global Treasury and relevant support units which include the planning of training activities for the introduction of new systems or processes as well as the delivery of the required documentation.
• Maintain a working knowledge of business processes and solution design. Perform gap analysis where known business requirements are not met.
Position : 2 year contract","Requirements
• Ideally degree in mathematical or financial discipline.
• Familiarity with Treasury products including Fixed Income and FX Cash / Money Market as well as derivative products. Good understanding of the trade lifecycle from front to back office.
• Experience and in-depth knowledge on Murex Treasury Version 3 platform is required especially in the areas of front office and middle office functions.  Knowledge on back office modules is an advantage. 
• Prior experience in a function of Business Analyst, Project Manager or Middle / Back Office Team Lead in conversion projects with a proven track record is preferred.
• Excellent communication skills, able to handle multiple projects and priorities concurrently and manage business expectations accordingly.
Position : 2 year contract
 "
Resourcing Analyst,Central,"Contract, Full Time","Executive, Junior Executive",Human Resources,"$3,500","to$4,000",Monthly,"Roles & Responsibilities
Role Description:
Support the Capability Lead (Line of Business Manager) to fulfill headcount demand across the respective Talent Communities.
Tracks, monitors and reports the progress of headcount fulfilment on a week-by-week basis.
Understands project assumptions and priorities (including demand priority) for roles
Works with Scheduler & TA understand the business environment to determine, develop and execute innovative solutions to provide guidance and counsel to resolve supply/demand issues, and provide input into resource planning activities
Determines ‘sourcing’ channel to fulfill demand and access ‘alternate pools’ if necessary
Cold calling candidates and build strategic resource pipelines
Provides support with ‘sourcing’, screening, data entry activities","Requirements
Contract Duration: 6 months with an option to extend/renew/convert, subject to the individual performance
Required Skills:
Minimum of 3 years of experience in a fast-paced, dynamic recruiting environment
3+ years of recruitment experience is highly desirable;
Possess an adaptable, proactive and eager to learn mindset to attain service excellence and continuous improvement 
Ability to handle high volume work load
Develop and execute against sourcing strategies that are designed to identify qualified candidates through various sourcing tools
Strong networking and referral building skills
Ability to collaborate and work in a team-oriented environment and collaborate with different recruitment functions 
Excellent oral, written and phone communication skills 
Ability to prioritize and multi-task autonomously
** We regret to inform that only shortlisted candidates will be notified.
We respect your privacy and all communication will be treated with confidentiality.  If you wish to know more about this position or explore other roles, please prepare your updated profile and get in touch with our consultants at 6232 8811 (EA License: 02C3423)
Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012."
Investment Banking Analyst,Islandwide,Full Time,"Professional, Executive",Banking and Finance,"$7,000","to$10,000",Monthly,"Roles & Responsibilities
About Our Client
The client is one of the largest Investment Banks in the region.
Job Description
Reporting to the Head of Department, the key responsibilities will include:
collecting and analysing data and information, conduct research and write research summary/report
mastering skills in financial analysis, valuation, memo drafting, etc.
handling some client meetings on matters related to deal executions
supporting coordination efforts in deal executions
assisting professionals in structuring and executing transactions
performing financial and statistical analysis.
conducting research, prepare supporting documentation and assist in due diligence efforts.","Requirements
The Successful Applicant
A successful candidate is one with:
Two years and above investment banking experience
Master degree in relevant majors, preferably an MBA from renowned universities.
Thorough understanding of Investment Banking business.
Extensive knowledge of the domestic and international capital markets and the firm's products and services.
What's on Offer
Competitive pay and a steep learning curve
Contact: 
Shruti Sukhani
Quote job ref: 4048866
+65 6541 9946"
Real Estate Investment Analyst,Islandwide,Full Time,"Professional, Executive",Banking and Finance,"$7,000","to$10,000",Monthly,"Roles & Responsibilities
About Our Client
The client is a new venture to the Singapore market and affiliated to a few strong parent companies.
Job Description
Reporting to the CEO, the key responsibilities will include:
Create and maintain a complex financial models to track and analyse fund performance
Research, analyse, underwrite and evaluate a variety of real estate investment opportunities to determine new asset types or locations for the firm to invest
Compile industry, market and asset level data and financial information
Create internal and external meeting materials, including annual business plans, board level presentations and institutional investor presentations
Respond to investors fund related and investment related queries and review investor reporting
Measure and monitor key business initiatives and report to senior management","Requirements
The Successful Applicant
A strong candidate will be one with:
2-3 years of work experience in the real estate and/or investment industries to help current operations to grow
Strong financial modelling, research, quantitative, and analytical skills
Strong interpersonal and communication skills (written as well as verbal)
Demonstrate adaptability, flexibility and initiative
Strong academic background in business, finance or math
What's on Offer
A competitive pay and a chance to grow within an organisation.
Contact: 
Shruti Sukhani
Quote job ref: 4044179
+65 6541 9946"
"Sourcing Snr Analyst, Manufacturing",South,Full Time,Professional,"Logistics / Supply Chain, Manufacturing","$6,900","to$11,000",Monthly,"Roles & Responsibilities
About the role
The nature of the work is focused on the effective and efficient distribution of products and services to customers. Elevates collaborative planning with Nike functional teams and footwear factory partners to optimize sourcing plans that align to and advance partner capabilities while driving balanced delivery, costing, quality and sustainability goals.
  Key Accountabilities :
  Create and execute integrated sourcing plans for footwear factory partners,  leading to balanced performance across delivery, costing, quality, and sustainability.  Drive short range sourcing decisions, aligned to partner capability, to maximize network flexibility and improve service levels.
Manage relationships with Nike WHQ and Partner Management Sourcing Directors, driving centralized and aligned direction and decisions
Actively update sourcing routings in system across multiple product types and partners in a timely and efficient manner, communicating changes to relevant stakeholders
Communicate issues or challenges to Nike cross functional teams, driving to solutions
Consolidate short, middle, and long range capacity and capability plans, shifting appropriate volume to the most capable partners
Actively participate in the identification of root causes for performance and capability gaps.
Analyze and measure effectiveness of partner and factory location performance, recommend practices and procedures that result in measurable improvement.
Gather data and monitor key performance indicators including fill rates, unplanned, delivery precision, quality, costing, and sustainability","Requirements
Requirements:
Bachelor’s Degree in related discipline with 5 years of relevant working experience in related industry or work capacity
Able to apply external best practices and new technologies to improve ability to deliver innovation to the marketplace through our partners
Demonstrate understanding of the supply chain process and ability to generate reports and provide insights
Able to work in cross functional teams across different geographies and diverse cultures. 
Able to communicate effectively and influence key stakeholders and colleagues.
Able to work independently with minimal guidance to solve problems and make decisions with resources on hand
 "
Senior Business Analyst ( 1 year contract ),Central,Contract,Manager,Insurance,"$4,000","to$7,000",Monthly,"Roles & Responsibilities
To support the delivery of new initiatives/projects.
To act as liaison between users and technical team in the gap analysis session and to document the finalized business requirements and rules for system enhancement and or new system implementation
To conduct the Business requirement gathering sessions with the business users, to conduct impact analysis and to recommend best practices or solution to the business needs.
To understand and manage the stakeholders during requirements walk-through on enhancements and new projects.
To develop comprehensive business requirements and to ensure user sign off the document.
To articulate business requirements to technical team to be translated into functional specifications.
To provide technical expertise and reviews functional specification to ensure design meets the user requirement specified
To produce comprehensive business scenario for User Acceptance Test and to ensure user sign off the test plan and test results.
To analyze and to monitor UAT and to ensure defects resolution within timeline.
Responsible to escalate concerns/issue/risk to supervisor for resolution and to mitigate risks proactively.
To ensure best practices are in place and ensure all customization documents are of absolutely “must have” for go-live and be signed off by users
To ensure personal development for self-improvement and build positive working relationships within the team","Requirements
Min. Bachelor Degree with 4 to 5 years of related experience in insurance industry
Knowledge in group insurance operations is an added advantage
Knowledge in SQL Scripting, System Application Analysis is highly preferred
Work independently with minimal guidance as well as a team player
Strong analytical skill, creative thinking skill and communication skill
Functional Expertise - Has conceptual knowledge of theories, practices and procedures in a discipline
Good experience in conducting User Acceptance Testing
Problem Solving - Identifies and solves a range of problems in straightforward situations; analyze possible solutions and assesses each using standard procedures
Customer Focus - Responds  to standard requests from internal and/or external customers
Influence - Communicates information, asks questions and checks for understanding "
System Analyst,East,"Permanent, Full Time",Non-executive,Information Technology,"$3,500","to$4,800",Monthly,"Roles & Responsibilities
This role shall provide project coordination and logistical support to Systems Manager as well as perform routine system support and change under the direct supervision of IT.
Responsibilities:
Project Management
Coordinate projects, execute processes, and ensure successful project completion.
Assist the System Manager with the development of the project execution plan
Assist with scheduling project tasks and keeping the project software up to date with accurate information.
Track project milestones and deliverables and be accountable for standardizing reporting formats and statistical analysis methodologies.
Work with project stakeholders on an ongoing basis.
Conduct Functional Tests (FT) in accordance to Requirement Specification.
Conduct User Acceptance Test (UAT) session with stakeholders
Proactively manage changes in project scope, identify potential risks, and devise contingency plans.
System Support
Improves systems by studying current practices; designing modifications
Prepares technical reports by collecting, analyzing, and summarizing information and trends
Troubleshoot technical issues for software applications and identity modifications needed in existing applications to meet changing user requirements.
Assist in managing an outsource relationship for 3rd party application development and programming consultants.
Produce technical documentation, including operations, user guides, etc. for new and existing applications
Recommends controls by identifying problems; writing improved procedures
Provide assistance and advice to business users in the effective use of applications and information technology
Provide user training and materials for new implementation","Requirements
IT Diploma/University Bachelor Degree with at least 3-5 years’ experience in a relevant field.
Knowledge on SDLC, Requirements Gathering, Analyzing Information
Strong analytical skills. Good database knowledge and able to write complex t-SQL, PLSQL scripts. 
Strong knowledge in macros and object oriented design and .Net programming languages.
Proficient in, or can quickly grasp applicable business processes and functions
Effective team player and collaborator.
Strong personal integrity."
"Analyst, Private Banking Department / IT Coordinator, Business Management Support, CBG (18000516)",Central,"Permanent, Full Time",Junior Executive,Banking and Finance,"$2,550","to$4,600",Monthly,"Roles & Responsibilities
Business Function 
DBS’ Private Banking offers a one-stop, full-service touch-point for total banking requirements and provides the highest level of personalised banking. We have a team of dedicated, experienced investment advisors who identify opportunities in the various asset classes and employ the best strategies and product vehicles to cater to each client’s needs. Coupled with partnerships within the DBS network and with global institutions, we strive to build long-term relationships with our Private Banking clients in Asia by providing them with high quality, timely and extensive wealth management, investment and financial solutions. 
Responsibilities
Coordinate systems access for new joiners and leavers in PB including PC, Phone, email setup, corporate handphone and iPads
Perform buyer role for IT equipment and maintain inventory
Miscellaneous private banking specific set-up
Set BCP site for PB
Servicing role for systems and equipment matters for private banking users, handling requests within scope of responsibility and redirecting to relevant departments when beyond. 
Involvement in projects to improve the PB working environment","Requirements
Minimum 3 years of experience as IT and application support, preferably in banking environment.  Knowledge in PC, email, network, basic administrations skills will be an added advantage.  
Analytical, meticulous, proactive and open mindset 
Excellent communication skills and writing skills
Excellent interpersonal skills and a good team player 
Good problem solving, planning and organising skills, able to multi-task and work under pressure
At least a Diploma from a recognized Institution, technical certifications will be added advantage"
Assistant Market Research Analyst,East,Temporary,Fresh/entry level,Others,"$1,000","to$1,800",Monthly,"Roles & Responsibilities
Conduct online desk research on digital trends and businesses
Set up information database to compile and organise information and data
Assist with data crunching or collation
Convert Findings into Written Reports
Provide general / administrative support as required","Requirements
Hold a Diploma or ‘A’ levels qualification
Proficient with Excel / Numbers and Powerpoint / KeyNote
Comfortable working with data
Familiar with Social Media, Online, and Mobile Research Techniques
Fast-Paced, Independent Thinker
Strong Analytical and Critical Thinking Skills
Attention to details"
Senior Business Analyst,Central,Full Time,Professional,Information Technology,"$8,000","to$10,000",Monthly,"Roles & Responsibilities
manage a challenging Cash Management project 
 manage the Agile team in order to produce the expected artifacts
 Organize, follow and update the Agile ceremonies (Grooming, Planning poker, Demonstration, Retrospective sessions)  Ensure a good communication between stakeholders, Product Owners, Tech leads, BAs and development members. 
identify resources needed and assigns individual responsibilities
 Report to the team head and escalate if any problems 
   ","Requirements
 Good knowledge in Payment area like interaction with Clearing, payment file format ISO20022, SEPA and SWIFT. Hands-on experience with such data mapping and testing. 
 Hands on experience on payment systems and exposure to Payments Hub, Clearing and Settlement, Automated clearing house programs and channels. 
Extensive knowledge on various kinds of payment products such as TT, RTGS, LVP, Payroll, Cheque, DD, Cashier Order, Mass & Bulk payments. 
 Proficient in User Acceptance Testing (UAT), Functional & System Integration testing of banking and financial applications "
Business Analyst,Central,Full Time,Professional,Information Technology,"$6,000","to$8,000",Monthly,"Roles & Responsibilities
manage a challenging Cash Management project 
manage the Agile team in order to produce the expected artifacts
Organize, follow and update the Agile ceremonies (Grooming, Planning poker, Demonstration, Retrospective sessions) 
 Ensure a good communication between stakeholders, Product Owners, Tech leads, BAs and development members.
 identify resources needed and assigns individual responsibilities 
Report to the team head and escalate if any problems 
 ","Requirements
At least 5 years relevant business analyst experience with banking IT systems 
 At least 7 years of experience in Agile Scrum Master position.
 Good knowledge in Payment area like interaction with Clearing, payment file format ISO20022, SEPA and SWIFT. Hands-on experience with such data mapping and testing. 
 Hands on experience on payment systems and exposure to Payments Hub, Clearing and Settlement, Automated clearing house programs and channels. 
Extensive knowledge on various kinds of payment products such as TT, RTGS, LVP, Payroll, Cheque, DD, Cashier Order, Mass & Bulk payments. 
 Proficient in User Acceptance Testing (UAT), Functional & System Integration testing of banking and financial applications "
"Forensic & Integrity Services Senior Associate (Incident Response Analyst), Singapore",Central,Full Time,Senior Executive,Consulting,"$4,100","to$8,200",Monthly,"Roles & Responsibilities
Join our Forensic & Integrity Services team within Assurance and you will help clients work through complex issues of fraud, regulatory compliance and business disputes. You will be part of a multidisciplinary, culturally aligned team that works with clients and their legal advisors.
  The opportunity
  You will experience ongoing professional development through diverse experiences, world-class learning and individually tailored coaching. That’s how we develop outstanding leaders who team to deliver on our promises to all of our stakeholders, and in so doing, play a critical role in building a better working world for our people, for our clients and for our communities. Sound interesting? Well this is just the beginning. Because whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.
  Skills and attributes for success
Analyze Information Security Incidents to identify those that pose a significant risk to clients, and escalating those Incidents appropriately
Review the details of all reported incidents to determine whether they constitute an Information Security Incident
Provide technical subject matter expertise to mitigating risk to impacted parties throughout an incident
Work with internal (system owner, IT contacts) and external constituents (vendors) to mitigate or remediate the risks associated with the Incidents, including convening appropriate Subject Matter Experts to assist investigations and ensuring that all relevant facts of the Incident are properly communicated 
Coordinate incident response efforts, and develop documentation to support the security incident response process
Must be willing to be on-call off hours in rotation with other team members","Requirements
To qualify for the role you must have
Bachelor's degree in computer science, information systems, engineering, or a related discipline and/or a professional certification, e.g., CISA, CISSP and/or GCIH
Two or more years working in an Incident Response role with experience in examining suspicious/malicious network events, analyzing malicious code/exploits, and system/network forensics
Experience in security aspects of multiple platforms, operating systems, software, communications and network protocols or an equivalent combination of education and work experience
Understanding of networking protocols and infrastructure designs; including routing, firewall functionality, host and network intrusion detection/prevention systems, encryption, load balancing, and other network protocols
Excellent communication skills, analytical ability, strong judgment and leadership skills, and the ability to work effectively with clients and IT management and staffs.
  Ideally, you’ll also have
Experience with Reverse Engineering malicious code and Web/Network Penetration Testing  
Experience with Databases, SQL knowledge
Experience writing Perl, Python, scripting, programming, or other languages
  What we look for
We’re interested in leaders with a genuine creative vision and the confidence to make it happen. You can expect plenty of autonomy in this role, so you’ll also need the ability to take initiative and seek out opportunities to improve our current relationships and processes. If you’re serious about forensic investigations and ready to take on some of our clients’ most complex issues, this role is for you.
  What working at EY offers
We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. We also offer you:
Support and coaching from some of the most engaging colleagues around
Opportunities to develop new skills and progress your career
The freedom and flexibility to handle your role in a way that’s right for you
  About EY
As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.
  If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.
Join us in building a better working world. Apply now."
Quality Data Analyst,North,Contract,Junior Executive,"Information Technology, Others","$3,500","to$4,800",Monthly,"Roles & Responsibilities
The Job
Analysing and grading large sets of data relevant to specific markets
Investigating and providing feedback on issues reported
Validating and correcting data from external sources","Requirements
The Talent
Min degree/diploma in any discipline.
Strong web analytical and problem solving skills
Hands on experience on quantitative analysis are required.
Outstanding relationship building and problem solving skills.
Required to have good geographical knowledge and the written local language of Korea"
Data Analyst,Central,Contract,"Fresh/entry level, Executive",Others,"$3,500","to$5,800",Monthly,"Roles & Responsibilities
Experience in analysing large data sets and generating reports that identify patterns.
Description
Accountable for the day-to-day evaluations for the Japanese Market and ensuring projects are completed on time. 
Oversee the quality of ratings, collaborate and provide feedback
Create high quality reports analyzing the issues and patterns  and provide insights to the backend team
Able to train and lead fellow Analysts.
Explore new relevance algorithms and features by rating pages and providing feedback to the backend team for improvement.
Use metrics and query logs to uncover relevance and data issues and suggest chain
   ","Requirements
This role supports the Japan market and need to be proficient in Japanese language and cultural
Works well with multi-functional teams, Engineers/Data Scientists who build complex algorithms.
Ability to work effectively in a team environment with strong interpersonal skills.
Strong quantitative skills, including analytical abilities and math proficiency.
Strong analytical and problem-solving skills.
Excellent verbal and written communication skills.
Ability to work successfully with teams on multiple projects under tight deadlines.
High attention to detail.
Enthusiastic in bringing new, innovative ideas
Proficient in Excel and sensitive to numbers"
Research Analyst,South,"Contract, Full Time",Fresh/entry level,Education and Training,"$2,500","to$4,000",Monthly,"Roles & Responsibilities
The Institute of South Asian Studies (ISAS) was established in July 2004 as an autonomous research institute dedicated to research on contemporary South Asia at NUS. ISAS seeks to promote understanding of this vital region of the world, and to communicate knowledge and insights about it to policy makers, the business community, academia and civil society, in Singapore and beyond.

Currently, ISAS is seeking for Research Assistant in the following areas:

*    Politics and Governance in South Asia
*    The Political Economy of Development in South Asia
*    Multilateral and International Linkages with South Asian States
*    Trade and Economics relating to South Asia and the world
*    Singapore, Southeast Asia and Diaspora","Requirements
Applicants who have successfully completed a Degree and/or Masters in Political Science, International Relations or South Asian Studies with strong theoretical and empirical grounding in the area of South Asian politics and development will be considered. Evidence of academic publications in the above mentioned field will be viewed favourably. Fresh graduates with research experience may also apply."
